lstm-cloud,1661241274.769881,1661241286.7088785,1,cwifi
mnist-cloud,1661241286.7102711,1661241299.672004,1,cwifi
resnet18-cloud,1661241299.6731694,1661241339.57236,1,cwifi
resnet34-cloud,1661241339.5735085,1661241389.3120534,1,cwifi
shufflenet-cloud,1661241489.3205664,1661241509.632933,1,cwifi
mobilenet-cloud,1661307623.6940114,1661307652.6068375,1,cwifi
lstm-cloud,1661261647.7844434,1661261659.1380055,1,cwired
mnist-cloud,1661261659.1393778,1661261671.5651524,1,cwired
resnet18-cloud,1661262541.739158,1661262568.8479831,1,cwired
resnet34-cloud,1661262568.8491979,1661262603.3650606,1,cwired
shufflenet-cloud,1661262603.366245,1661262622.6445968,1,cwired
mobilenet-cloud,1661265859.2586653,1661265882.5537784,1,cwired
lstm,1660826774.7311993,1660826785.5198328,1,lwifi
mnist,1660826785.5210476,1660826798.35478,1,lwifi
resnet18,1660826798.3558884,1660826852.182265,1,lwifi
mobilenet4,1660826952.1916897,1660826992.4303193,1,lwifi
shufflenet,1660826992.4314752,1660827019.8691108,1,lwifi
resnet34,1661238727.1308367,1661238793.8434181,1,lwifi           
lstm,1660834403.136768,1660834416.8549044,1,lwired
mnist,1660834416.8561106,1660834429.8306603,1,lwired
resnet34,1661226739.4111376,1661226809.460331,1,lwired
mobilenet4,1661226809.4614987,1661226850.0186558,1,lwired
shufflenet,1661226850.0198386,1661226877.5968115,1,lwired
resnet18,1661238335.8798532,1661238380.4559195,1,lwired
