1661261647.7975488,lstm-cloud,1,cwired
1661261647.8425114,mnist-cloud,1,cwired
1661261647.8436856,mobilenet-cloud,1,cwired
1661261649.8574197,lstm-cloud,1,cwired
1661261649.8588417,mnist-cloud,1,cwired
1661261649.8599977,mobilenet-cloud,1,cwired
1661261651.8720925,lstm-cloud,1,cwired
1661261651.8735473,mnist-cloud,1,cwired
1661261651.8747885,mobilenet-cloud,1,cwired
1661261653.8870876,lstm-cloud,1,cwired
1661261653.8885603,mnist-cloud,1,cwired
1661261653.8897915,mobilenet-cloud,1,cwired
1661261655.90198,lstm-cloud,1,cwired
1661261655.9034698,mnist-cloud,1,cwired
1661261655.9047484,mobilenet-cloud,1,cwired
1661261657.9155812,lstm-cloud,1,cwired
1661261657.9169753,mnist-cloud,1,cwired
1661261657.9183905,mobilenet-cloud,1,cwired
1661261659.9301548,lstm-cloud,1,cwired
1661261659.931599,mnist-cloud,1,cwired
1661261659.932906,mobilenet-cloud,1,cwired
1661261662.0502932,lstm-cloud,1,cwired
1661261662.0518575,mnist-cloud,1,cwired
1661261662.0530596,mobilenet-cloud,1,cwired
1661261664.0659642,lstm-cloud,1,cwired
1661261664.0675228,mnist-cloud,1,cwired
1661261664.0688782,mobilenet-cloud,1,cwired
1661261666.0812097,lstm-cloud,1,cwired
1661261666.082633,mnist-cloud,1,cwired
1661261666.0839057,mobilenet-cloud,1,cwired
1661261668.0959985,lstm-cloud,1,cwired
1661261668.0974088,mnist-cloud,1,cwired
1661261668.098579,mobilenet-cloud,1,cwired
1661261670.1102147,lstm-cloud,1,cwired
1661261670.1115808,mnist-cloud,1,cwired
1661261670.1127675,mobilenet-cloud,1,cwired
1661261672.123233,lstm-cloud,1,cwired
1661261672.1246045,mnist-cloud,1,cwired
1661261672.1258442,mobilenet-cloud,1,cwired
1661261674.1376407,lstm-cloud,1,cwired
1661261674.1390164,mnist-cloud,1,cwired
1661261674.140235,mobilenet-cloud,1,cwired
