euler-37,eth0,10.244.1.0,198.9.9.37
euler-41,eth0,10.244.2.0,198.9.9.41
euler-28,eth0,10.244.17.0,198.9.9.29
euler-38,eth0,10.244.16.0,198.9.9.38
euler-39,eth0,10.244.18.0,198.9.9.39
euler-1,Wlan0,10.244.13.0,198.9.9.26
euler-2,Wlan0,10.244.7.0,198.9.9.35
euler-3,Wlan0,10.244.8.0,198.9.9.19
euler-4,Wlan0,10.244.9.0,198.9.9.15
euler-9,Wlan0,10.244.19.0,198.9.9.9
euler-13,Wlan0,10.244.6.0,198.9.9.13
euler-24,Wlan0,10.244.11.0,198.9.9.24
euler-27,Wlan0,10.244.12.0,172.17.0.1
euler-30,Wlan0,10.244.10.0,198.9.9.30
